ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","2.959"
"Cidreira","4305454","-30.160399999990","-50.233800000000","1.146"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","7.595"
"Colinas","4305587","-29.381499999990","-51.852600000000","1.860"
"Constantina","4305801","-27.731999999990","-52.993800000000","3.539"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","547"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","2.609"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","837"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","2.458"
"Coxilha","4305975","-28.128000000000","-52.302300000000","1.094"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","6.787"
"Cristal","4306056","-31.004600000000","-52.043599999990","4.255"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","237"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","20.662"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","2.713"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","6.778"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","682"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","1.912"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","1.786"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","1.800"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","1.248"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","15.295"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","17.526"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","5.158"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","11.921"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","1.631"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","2.284"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","1.923"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","6.406"
"Encantado","4306809","-29.235099999990","-51.870300000000","3.831"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","5.768"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","536"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","1.186"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","4.924"
"Erebango","4306973","-27.854399999990","-52.300500000000","758"
"Erechim","4307005","-27.636399999990","-52.269700000000","5.779"
"Ernestina","4307054","-28.497699999990","-52.583599999990","1.655"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","2.605"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","2.618"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","925"
"Esperança do Sul","4307450","-27.360299999990","-53.989100000000","2.177"
"Espumoso","4307500","-28.728600000000","-52.846100000000","80"
"Estação","4307559","-27.913499999990","-52.263500000000","7.450"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","557"
"Esteio","4307708","-29.852000000000","-51.184100000000","395"
"Estrela","4307807","-29.501600000000","-51.960500000000","10.514"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","33"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","1.396"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","1.827"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","13.875"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","776"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","1.069"
"Feliz","4308102","-29.452700000000","-51.303199999990","3.335"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","10.531"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","3.870"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","5"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","10.083"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","9.365"
"Garruchos","4308656","-28.194400000000","-55.638300000000","1.552"
"Gaurama","4308706","-27.585599999990","-52.091500000000","3.256"
"General Câmara","4308805","-29.903199999990","-51.761200000000","849"
"Gentil","4308854","-28.431600000000","-52.033700000000","193"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","1.670"
"Giruá","4309001","-28.029699999990","-54.351700000000","7.230"
"Glorinha","4309050","-29.879799999990","-50.773400000000","2.963"
"Gramado","4309100","-29.373300000000","-50.876199999990","2.733"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","727"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","843"
