,,,,
Município,ibge,latitude,longitude,/Energia Elétr...umo/Residencial 2012 (MWh)
Maquiné,4311775,-29.679800000000,-50.207900000000,3284
Maratá,4311791,-29.545700000000,-51.557299999990,767
Marau,4311809,-28.449800000000,-52.198599999990,24188
Marcelino Ramos,4311908,-27.467600000000,-51.909500000000,2147
Mariana Pimentel,4311981,-30.353100000000,-51.580300000000,863
Mariano Moro,4312005,-27.356800000000,-52.146700000000,814
Mata,4312104,-29.564900000000,-54.464100000000,1881
Mato Leitão,4312153,-29.528500000000,-52.127800000000,1990
Maximiliano de Almeida,4312203,-27.632500000000,-51.802100000000,1905
Minas do Leão,4312252,-30.134599999990,-52.042299999990,4666
Miraguaí,4312302,-27.497000000000,-53.689100000000,1607
Montauri,4312351,-28.646200000000,-52.076700000000,506
Monte Alegre dos Campos,4312377,-28.680499999990,-50.783400000000,562
Monte Belo do Sul,4312385,-29.160699999990,-51.633299999990,692
Montenegro,4312401,-29.682400000000,-51.467900000000,48845
Mormaço,4312427,-28.696800000000,-52.699900000000,638
Morrinhos do Sul,4312443,-29.357800000000,-49.932800000000,577
Morro Redondo,4312450,-31.588699999990,-52.626100000000,1918
Morro Reuter,4312476,-29.537900000000,-51.081099999990,4169
Mostardas,4312500,-31.105399999990,-50.916699999990,7204
Muçum,4312609,-29.163000000000,-51.871400000000,3764
Muitos Capões,4312617,-28.313199999990,-51.183599999990,830
Muliterno,4312625,-28.325299999990,-51.769700000000,19
Não-Me-Toque,4312658,-28.454799999990,-52.818199999990,10827
Nonoai,4312708,-27.368900000000,-52.775599999990,5987
Nova Alvorada,4312757,-28.682200000000,-52.163100000000,187
Nova Araçá,4312807,-28.653700000000,-51.745800000000,2407
Nova Bassano,4312906,-28.729099999990,-51.707200000000,4371
Nova Boa Vista,4312955,-27.992599999990,-52.978400000000,475
Nova Bréscia,4313003,-29.218200000000,-52.031900000000,1445
Nova Candelária,4313011,-27.613700000000,-54.107399999990,702
Nova Esperança do Sul,4313037,-29.406600000000,-54.829300000000,2535
Nova Hartz,4313060,-29.580700000000,-50.905099999990,13312
Nova Pádua,4313086,-29.027500000000,-51.309800000000,819
Nova Palma,4313102,-29.471000000000,-53.468899999990,0
Nova Petrópolis,4313201,-29.374099999990,-51.113500000000,13023
Nova Prata,4313300,-28.779900000000,-51.611300000000,15594
Nova Roma do Sul,4313359,-28.988199999990,-51.409500000000,1407
Nova Santa Rita,4313375,-29.852499999990,-51.283700000000,17988
Novo Barreiro,4313490,-27.907699999990,-53.110300000000,956
Novo Cabrais,4313391,-29.733799999990,-52.948900000000,71
Novo Hamburgo,4313409,-29.687600000000,-51.132800000000,229760
Novo Machado,4313425,-27.576499999990,-54.503599999990,872
Novo Xingu,4313466,-27.743099999990,-53.061599999990,412
Osório,4313508,-29.888100000000,-50.266700000000,35776
Paim Filho,4313607,-27.707500000000,-51.762999999990,1429
Palmares do Sul,4313656,-30.253499999990,-50.510300000000,12487
Palmeira das Missões,4313706,-27.900600000000,-53.313400000000,19920
Palmitinho,4313805,-27.359600000000,-53.558000000000,2312
Panambi,4313904,-28.283300000000,-53.502299999990,0
Pantano Grande,4313953,-30.190100000000,-52.372900000000,5101
Paraí,4314001,-28.596399999990,-51.789600000000,3608
Paraíso do Sul,4314027,-29.671700000000,-53.143999999990,452
Pareci Novo,4314035,-29.636500000000,-51.397399999990,1270
Parobé,4314050,-29.624300000000,-50.831200000000,37152
Passa Sete,4314068,-29.457699999990,-52.959899999990,452
Passo do Sobrado,4314076,-29.748000000000,-52.274799999990,1468
Passo Fundo,4314100,-28.257600000000,-52.409100000000,140437
Paulo Bento,4314134,-27.697800000000,-52.426099999990,548
Paverama,4314159,-29.548500000000,-51.733899999990,1756
Pedras Altas,4314175,-31.721699999990,-53.583799999990,517
Pedro Osório,4314209,-31.864200000000,-52.818399999990,4581
Pejuçara,4314308,-28.428300000000,-53.657899999990,1817
Pelotas,4314407,-31.764900000000,-52.337100000000,243745
Picada Café,4314423,-29.446400000000,-51.136699999990,3123
Pinhal da Serra,4314464,-27.863399999990,-51.170200000000,640
Pinhal Grande,4314472,-29.344999999990,-53.320700000000,1166
Pinheirinho do Vale,4314498,-27.210899999990,-53.607999999990,1025
Pinheiro Machado,4314506,-31.579400000000,-53.379800000000,6222
Pirapó,4314555,-28.043900000000,-55.200099999990,574
Piratini,4314605,-31.447299999990,-53.097299999990,7356
Planalto,4314704,-27.329699999990,-53.057500000000,4257
Poço das Antas,4314753,-29.448100000000,-51.671900000000,0
Ponte Preta,4314787,-27.658700000000,-52.484800000000,382
Portão,4314803,-29.701499999990,-51.242899999990,25436
Porto Alegre,4314902,-30.032778000000,-51.230000000000,1248579
Porto Lucena,4315008,-27.856900000000,-55.009999999990,1649
Porto Mauá,4315057,-27.579599999990,-54.665700000000,835
Porto Vera Cruz,4315073,-27.740500000000,-54.899400000000,354
Porto Xavier,4315107,-27.908200000000,-55.137900000000,4117
Presidente Lucena,4315149,-29.517600000000,-51.179800000000,1216
Protásio Alves,4315172,-28.757200000000,-51.475700000000,451
Putinga,4315206,-29.004500000000,-52.156900000000,0
Quaraí,4315305,-30.384000000000,-56.448300000000,14482
Quatro Irmãos,4315313,-27.816299999990,-52.441899999990,576
Quevedos,4315321,-29.350400000000,-54.078899999990,675
Quinze de Novembro,4315354,-28.746500000000,-53.101100000000,1387
Redentora,4315404,-27.664000000000,-53.640700000000,2112
Relvado,4315453,-29.116399999990,-52.077800000000,691
Restinga Sêca,4315503,-29.818800000000,-53.380699999990,145
Rio dos Índios,4315552,-27.297300000000,-52.841700000000,545
Rio Grande,4315602,-32.034900000000,-52.107100000000,142455
Rio Pardo,4315701,-29.988000000000,-52.371099999990,20843
Riozinho,4315750,-29.638999999990,-50.448799999990,2018
Roca Sales,4315800,-29.288399999990,-51.865800000000,6021
Rolador,4315958,-28.257670000000,-54.818640000000,53
Rolante,4316006,-29.646200000000,-50.581899999990,12049
Ronda Alta,4316105,-27.775800000000,-52.805599999990,4219
Rondinha,4316204,-27.831499999990,-52.908099999990,1838
Roque Gonzales,4316303,-28.129700000000,-55.026600000000,2353
Rosário do Sul,4316402,-30.251500000000,-54.922100000000,23487
Sagrada Família,4316428,-27.708500000000,-53.135100000000,561
Saldanha Marinho,4316436,-28.394100000000,-53.097000000000,1374
Salto do Jacuí,4316451,-29.095099999990,-53.213299999990,6371
Salvador das Missões,4316477,-28.123300000000,-54.837299999990,772
Salvador do Sul,4316501,-29.438600000000,-51.507700000000,42
Sananduva,4316600,-27.946999999990,-51.807899999990,8186
Santa Bárbara do Sul,4316709,-28.365300000000,-53.250999999990,4540
Santa Clara do Sul,4316758,-29.474699999990,-52.084299999990,12
Santa Cruz do Sul,4316808,-29.722000000000,-52.434300000000,103600
Santa Margarida do Sul,4316972,-30.329599999990,-54.082299999990,197
Santa Maria,4316907,-29.686800000000,-53.814999999990,254337
Santa Maria do Herval,4316956,-29.490200000000,-50.991900000000,2973
Santa Rosa,4317202,-27.870200000000,-54.479599999990,50501
Santa Tereza,4317251,-29.165500000000,-51.735100000000,613
Santa Vitória do Palmar,4317301,-33.524999999990,-53.371699999990,16311
Santana da Boa Vista,4317004,-30.869700000000,-53.109999999990,2676
Santana do Livramento,4317103,-30.887699999990,-55.531500000000,54727
Santiago,4317400,-29.189699999990,-54.866599999990,32285
Santo Ângelo,4317509,-28.300100000000,-54.266800000000,54595
Santo Antônio da Patrulha,4317608,-29.826799999990,-50.517499999990,23755
Santo Antônio das Missões,4317707,-28.513999999990,-55.225099999990,350
Santo Antônio do Palma,4317558,-28.495600000000,-52.026699999990,479
Santo Augusto,4317806,-27.852599999990,-53.777600000000,7349
Santo Cristo,4317905,-27.826300000000,-54.661999999990,6821
Santo Expedito do Sul,4317954,-27.907399999990,-51.643300000000,57
São Borja,4318002,-28.657800000000,-56.003599999990,44602
São Domingos do Sul,4318051,-28.531199999990,-51.886000000000,968
São Francisco de Assis,4318101,-29.554700000000,-55.125300000000,8645
São Francisco de Paula,4318200,-29.440400000000,-50.582799999990,11511
São Gabriel,4318309,-30.333700000000,-54.321700000000,37900
São Jerônimo,4318408,-29.971599999990,-51.725099999990,12985
São João da Urtiga,4318424,-27.819500000000,-51.825699999990,1727
São João do Polêsine,4318432,-29.619399999990,-53.443899999990,0
São Jorge,4318440,-28.498400000000,-51.706400000000,1185
São José das Missões,4318457,-27.778900000000,-53.122599999990,622
São José do Hortêncio,4318481,-29.527999999990,-51.245000000000,2043
São José do Inhacorá,4318499,-27.725100000000,-54.127499999990,691
São José do Norte,4318507,-32.015099999990,-52.033099999990,12361
São José do Ouro,4318606,-27.770700000000,-51.596600000000,3346
São José do Sul,4318614,-29.529000000000,-51.487099999990,397
São José dos Ausentes,4318622,-28.747599999990,-50.067700000000,1374
São Leopoldo,4318705,-29.754500000000,-51.149799999990,188054
São Lourenço do Sul,4318804,-31.356400000000,-51.971499999990,17354
São Luiz Gonzaga,4318903,-28.411999999990,-54.955900000000,21176
São Marcos,4319000,-28.967700000000,-51.069600000000,13420
São Martinho,4319109,-27.711200000000,-53.969900000000,2578
São Martinho da Serra,4319125,-29.539700000000,-53.859000000000,917
São Miguel das Missões,4319158,-28.556000000000,-54.555900000000,23
São Nicolau,4319208,-28.183399999990,-55.265400000000,1929
São Paulo das Missões,4319307,-28.019500000000,-54.940399999990,1738
São Pedro das Missões,4319364,-27.773219999990,-53.250470000000,412
São Pedro do Butiá,4319372,-28.124300000000,-54.892600000000,1093
São Pedro do Sul,4319406,-29.620200000000,-54.185499999990,9023
São Sebastião do Caí,4319505,-29.588500000000,-51.374899999990,19213
São Sepé,4319604,-30.164300000000,-53.560299999990,13738
