ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"General Câmara","4308805","-29.903199999990","-51.761200000000","2.335"
"Gentil","4308854","-28.431600000000","-52.033700000000","97"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","6.078"
"Giruá","4309001","-28.029699999990","-54.351700000000","6.275"
"Glorinha","4309050","-29.879799999990","-50.773400000000","2.041"
"Gramado","4309100","-29.373300000000","-50.876199999990","14.001"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","..."
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","8"
"Gravataí","4309209","-29.941299999990","-50.986899999990","102.788"
"Guabiju","4309258","-28.542100000000","-51.694800000000","228"
"Guaíba","4309308","-30.108599999990","-51.323300000000","41.081"
"Guaporé","4309407","-28.839900000000","-51.889499999990","8.047"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","2.230"
"Harmonia","4309555","-29.545600000000","-51.418500000000","726"
"Herval","4307104","-32.024000000000","-53.394399999990","1.302"
"Horizontina","4309605","-27.628200000000","-54.305300000000","7.626"
"Humaitá","4309704","-27.569099999990","-53.969499999990","1.378"
"Ibarama","4309753","-29.420300000000","-53.129500000000","272"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","1.275"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","516"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","6.574"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","11.414"
"Ijuí","4310207","-28.388100000000","-53.920000000000","16"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","808"
"Imbé","4310330","-29.975300000000","-50.128100000000","15.073"
"Imigrante","4310363","-29.350800000000","-51.774700000000","552"
"Independência","4310405","-27.835400000000","-54.188600000000","1.379"
"Inhacorá","4310413","-27.875200000000","-54.015000000000","274"
"Ipê","4310439","-28.817100000000","-51.285899999990","990"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","334"
"Iraí","4310504","-27.195100000000","-53.254300000000","2.086"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","404"
"Itaqui","4310603","-29.131000000000","-56.551499999990","17.933"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","577"
"Ivorá","4310751","-29.523199999990","-53.584200000000","4"
"Ivoti","4310801","-29.599499999990","-51.153300000000","6.962"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","1.001"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","12.215"
