0,Município,ibge,latitude,longitude,MWh,ano
176,Jóia,4311155,-28.643500000000,-54.114100000000,3.864,1995
177,Júlio de Castilhos,4311205,-29.229800000000,-53.677199999990,17.660,1995
178,Lagoa dos Três Cantos,4311270,-28.567599999990,-52.861800000000,646,1995
179,Lagoa Vermelha,4311304,-28.209299999990,-51.524799999990,26.362,1995
180,Lagoão,4311254,-29.234800000000,-52.799700000000,87,1995
181,Lajeado,4311403,-29.459099999990,-51.964399999990,228.667,1995
182,Lajeado do Bugre,4311429,-27.691299999990,-53.181800000000,164,1995
183,Lavras do Sul,4311502,-30.807099999990,-53.893099999990,4.785,1995
184,Liberato Salzano,4311601,-27.600999999990,-53.075299999990,2.731,1995
185,Lindolfo Collor,4311627,-29.585899999990,-51.214100000000,7.102,1995
186,Linha Nova,4311643,-29.467900000000,-51.200299999990,921,1995
187,Machadinho,4311700,-27.566700000000,-51.666800000000,2.938,1995
188,Manoel Viana,4311759,-29.585899999990,-55.484099999990,4.523,1995
189,Maquiné,4311775,-29.679800000000,-50.207900000000,4.566,1995
190,Maratá,4311791,-29.545700000000,-51.557299999990,1.587,1995
191,Marau,4311809,-28.449800000000,-52.198599999990,56.276,1995
192,Marcelino Ramos,4311908,-27.467600000000,-51.909500000000,5.511,1995
193,Mariana Pimentel,4311981,-30.353100000000,-51.580300000000,1.774,1995
194,Mariano Moro,4312005,-27.356800000000,-52.146700000000,1.839,1995
195,Mata,4312104,-29.564900000000,-54.464100000000,4.172,1995
196,Mato Leitão,4312153,-29.528500000000,-52.127800000000,3.593,1995
197,Maximiliano de Almeida,4312203,-27.632500000000,-51.802100000000,3.251,1995
198,Minas do Leão,4312252,-30.134599999990,-52.042299999990,8.509,1995
199,Miraguaí,4312302,-27.497000000000,-53.689100000000,2.644,1995
200,Montauri,4312351,-28.646200000000,-52.076700000000,717,1995
201,Monte Belo do Sul,4312385,-29.160699999990,-51.633299999990,1.871,1995
202,Montenegro,4312401,-29.682400000000,-51.467900000000,84.498,1995
203,Mormaço,4312427,-28.696800000000,-52.699900000000,741,1995
204,Morrinhos do Sul,4312443,-29.357800000000,-49.932800000000,2.166,1995
205,Morro Redondo,4312450,-31.588699999990,-52.626100000000,3.846,1995
206,Morro Reuter,4312476,-29.537900000000,-51.081099999990,5.345,1995
207,Mostardas,4312500,-31.105399999990,-50.916699999990,17.433,1995
208,Muçum,4312609,-29.163000000000,-51.871400000000,14.151,1995
209,Muliterno,4312625,-28.325299999990,-51.769700000000,118,1995
210,Não-Me-Toque,4312658,-28.454799999990,-52.818199999990,17.553,1995
211,Nonoai,4312708,-27.368900000000,-52.775599999990,8.900,1995
212,Nova Alvorada,4312757,-28.682200000000,-52.163100000000,1.686,1995
213,Nova Araçá,4312807,-28.653700000000,-51.745800000000,6.181,1995
214,Nova Bassano,4312906,-28.729099999990,-51.707200000000,14.895,1995
215,Nova Boa Vista,4312955,-27.992599999990,-52.978400000000,1.565,1995
216,Nova Bréscia,4313003,-29.218200000000,-52.031900000000,4.019,1995
217,Nova Esperança do Sul,4313037,-29.406600000000,-54.829300000000,3.869,1995
218,Nova Hartz,4313060,-29.580700000000,-50.905099999990,15.022,1995
219,Nova Pádua,4313086,-29.027500000000,-51.309800000000,2.179,1995
220,Nova Palma,4313102,-29.471000000000,-53.468899999990,54,1995
221,Nova Petrópolis,4313201,-29.374099999990,-51.113500000000,22.334,1995
222,Nova Prata,4313300,-28.779900000000,-51.611300000000,38.372,1995
223,Nova Roma do Sul,4313359,-28.988199999990,-51.409500000000,2.395,1995
