"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","24.545"
"Giruá","4309001","-28.029699999990","-54.351700000000","23.577"
"Glorinha","4309050","-29.879799999990","-50.773400000000","10.213"
"Gramado","4309100","-29.373300000000","-50.876199999990","78.875"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","780"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","1.035"
"Gravataí","4309209","-29.941299999990","-50.986899999990","735.072"
"Guabiju","4309258","-28.542100000000","-51.694800000000","2.789"
"Guaíba","4309308","-30.108599999990","-51.323300000000","386.443"
"Guaporé","4309407","-28.839900000000","-51.889499999990","42.072"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","12.716"
"Harmonia","4309555","-29.545600000000","-51.418500000000","8.912"
"Herval","4307104","-32.024000000000","-53.394399999990","4.871"
"Herveiras","4309571","-29.455200000000","-52.655299999990","1.961"
"Horizontina","4309605","-27.628200000000","-54.305300000000","50.775"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","23.772"
"Humaitá","4309704","-27.569099999990","-53.969499999990","7.103"
"Ibarama","4309753","-29.420300000000","-53.129500000000","3.839"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","7.852"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","4.172"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","42.427"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","71.771"
"Ijuí","4310207","-28.388100000000","-53.920000000000","88.902"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","5.053"
"Imbé","4310330","-29.975300000000","-50.128100000000","42.118"
"Imigrante","4310363","-29.350800000000","-51.774700000000","13.093"
"Independência","4310405","-27.835400000000","-54.188600000000","5.409"
"Inhacorá","4310413","-27.875200000000","-54.015000000000","1.024"
"Ipê","4310439","-28.817100000000","-51.285899999990","9.299"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","2.153"
"Iraí","4310504","-27.195100000000","-53.254300000000","6.493"
"Itaara","4310538","-29.601299999990","-53.772500000000","7.837"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","5.335"
"Itapuca","4310579","-28.776800000000","-52.169300000000","170"
"Itaqui","4310603","-29.131000000000","-56.551499999990","129.093"
"Itati","4310652","-29.488320000000","-50.113579999990","2.548"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","3.591"
"Ivorá","4310751","-29.523199999990","-53.584200000000","658"
"Ivoti","4310801","-29.599499999990","-51.153300000000","50.541"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","5.172"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","36.277"
"Jaguari","4311106","-29.493600000000","-54.703000000000","14.180"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","4.437"
